date,open,high,low,close
2017-09-01,4201000.0,4896000.0,4175000.0,4895000.0
2017-10-01,4889000.0,7479000.0,4682000.0,7422000.0
2017-11-01,7422000.0,13750000.0,6476000.0,11935000.0
2017-12-01,11935000.0,24967000.0,11201000.0,19280000.0
2018-01-01,19278000.0,28885000.0,10400000.0,11429000.0
2018-02-01,11439000.0,14149000.0,6620000.0,11860000.0
2018-03-01,11865000.0,12899000.0,7431000.0,7697000.0
2018-04-01,7688000.0,10755000.0,7087000.0,10138000.0
2018-05-01,10135000.0,10963000.0,7813000.0,8282000.0
2018-06-01,8278000.0,8490000.0,6590000.0,7164000.0
2018-07-01,7164000.0,9578000.0,6941000.0,8800000.0
2018-08-01,8807000.0,8940000.0,6960000.0,7865000.0
2018-09-01,7865000.0,8333000.0,7010000.0,7393000.0
2018-10-01,7394000.0,7905000.0,7057000.0,7162000.0
2018-11-01,7162000.0,7348000.0,4126000.0,4565000.0
2018-12-01,4565000.0,4852000.0,3562000.0,4200000.0
2019-01-01,4200000.0,4577000.0,3730000.0,3775000.0
2019-02-01,3775000.0,4554000.0,3735000.0,4240000.0
2019-03-01,4240000.0,4680000.0,4120000.0,4661000.0
2019-04-01,4661000.0,6566000.0,4621000.0,6117000.0
2019-05-01,6117000.0,10815000.0,6107000.0,10383000.0
2019-06-01,10383000.0,16840000.0,9172000.0,13598000.0
2019-07-01,13599000.0,15537000.0,10880000.0,11957000.0
2019-08-01,11956000.0,14570000.0,11380000.0,11612000.0
2019-09-01,11612000.0,13014000.0,9268000.0,9945000.0
2019-10-01,9945000.0,11899000.0,8630000.0,10692000.0
2019-11-01,10698000.0,10996000.0,7683000.0,8838000.0
2019-12-01,8838000.0,8996000.0,7546000.0,8312000.0
2020-01-01,8308000.0,10882000.0,7910000.0,10781000.0
2020-02-01,10781000.0,12044000.0,10306000.0,10374000.0
2020-03-01,10380000.0,10980000.0,5489000.0,7799000.0
2020-04-01,7799000.0,11435000.0,7529000.0,10477000.0
2020-05-01,10477000.0,12163000.0,10121000.0,11432000.0
2020-06-01,11432000.0,12230000.0,10756000.0,10903000.0
2020-07-01,10903000.0,13580000.0,10700000.0,13416000.0
2020-08-01,13404000.0,14382000.0,12871000.0,13739000.0
2020-09-01,13733000.0,14097000.0,11860000.0,12558000.0
2020-10-01,12562000.0,15800000.0,12205000.0,15606000.0
2020-11-01,15606000.0,21459000.0,15011000.0,21315000.0
2020-12-01,21313000.0,32386000.0,19216000.0,32042000.0
2021-01-01,32037000.0,48550000.0,31662000.0,36408000.0
2021-02-01,36408000.0,65985000.0,35907000.0,51798000.0
2021-03-01,51798000.0,72000000.0,51560000.0,71513000.0
2021-04-01,71480000.0,81994000.0,54964000.0,67939000.0
2021-05-01,67956000.0,73129000.0,39331000.0,43761000.0
2021-06-01,43761000.0,44550000.0,42515000.0,42586000.0
